"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Cody Ceci","CODY.CECI","8476879","14-15","OTT","D","R",1993-12-21,20,2012,1,15,81,1562.48,43.78,45.39,46.23,46.88,46.66,2.13,2.74,28.29,34.04,38.96,45.32,52.28,59.24,2.5,2.86,-0.61,-5.74,-6.36,-6.95,-0.36,7.53,91.96
"Cody Ceci","CODY.CECI","8476879","15-16","OTT","D","R",1993-12-21,21,2012,1,15,75,1447.52,44.23,39.17,40.5,40.17,40.79,2.29,2.89,23.74,36.88,33.55,49.28,44.48,66.25,2.1,3.05,-0.6,-13.13,-15.74,-21.77,-0.95,9.65,92.17
"Cody Ceci","CODY.CECI","8476879","16-17","OTT","D","R",1993-12-21,22,2012,1,15,79,1833.2,39.16,42.88,41.9,41.55,40.55,1.92,2.98,24.79,33.02,34.05,47.21,46.89,65.97,1.99,2.92,-1.06,-8.24,-13.16,-19.08,-0.93,7.75,90.96
"Cody Ceci","CODY.CECI","8476879","17-18","OTT","D","R",1993-12-21,23,2012,1,15,82,1913.83,37.01,40.16,40.36,39.76,37.38,2.25,3.84,25.83,38.49,35.87,53.01,47.94,72.64,2.05,3.43,-1.58,-12.66,-17.14,-24.7,-1.38,8.72,90.04
"Cody Ceci","CODY.CECI","8476879","18-19","OTT","D","R",1993-12-21,24,2012,1,15,74,1669.52,38.15,40.24,40.16,40.26,41.87,2.5,4.06,27.79,41.27,37.83,56.37,50.06,74.27,2.53,3.52,-1.55,-13.48,-18.53,-24.22,-0.98,9,90.17
"Cody Ceci","CODY.CECI","8476879","19-20","TOR","D","R",1993-12-21,25,2012,1,15,56,1150.3,43.37,43.12,43.35,44.24,45.27,2.3,3,26.38,34.8,37.53,49.05,50.69,63.9,2.49,3.01,-0.7,-8.42,-11.51,-13.21,-0.52,8.72,91.37
"Cody Ceci","CODY.CECI","8476879","20-21","PIT","D","R",1993-12-21,26,2012,1,15,53,981.47,51.35,43.94,44.14,44.32,43.7,2.95,2.79,25.76,32.87,34.21,43.29,45.51,57.16,2.14,2.76,0.16,-7.11,-9.08,-11.65,-0.62,11.44,91.5
"Cody Ceci","CODY.CECI","8476879","21-22","EDM","D","R",1993-12-21,27,2012,1,15,49,1014.32,41.37,45.65,46.26,47.1,44.64,2.31,3.28,27.21,32.4,36.84,42.79,49.42,55.49,2.45,3.04,-0.96,-5.19,-5.96,-6.07,-0.59,8.49,89.89
"Cody Eakin","CODY.EAKIN","8475236","11-12","WSH","C","L",1991-05-24,20,2009,3,85,30,278.3,53.5,46.75,47.67,48.97,46.43,2.57,2.23,25.72,29.29,35.51,38.98,49.76,51.85,1.79,2.07,0.34,-3.57,-3.47,-2.08,-0.28,9.98,92.38
"Cody Eakin","CODY.EAKIN","8475236","12-13","DAL","C","L",1991-05-24,21,2009,3,85,48,724.07,47.23,42.48,43.27,45.77,37.59,2.58,2.88,23.48,31.79,34.28,44.93,50.2,59.49,2.03,3.38,-0.3,-8.31,-10.65,-9.29,-1.34,10.97,90.95
"Cody Eakin","CODY.EAKIN","8475236","13-14","DAL","C","L",1991-05-24,22,2009,3,85,81,1403.85,45.53,50.19,51.1,52.1,50.86,2.42,2.9,30.16,29.93,43.81,41.93,60.4,55.52,3.05,2.94,-0.48,0.23,1.89,4.88,0.1,8.03,90.32
"Cody Eakin","CODY.EAKIN","8475236","14-15","DAL","C","L",1991-05-24,23,2009,3,85,78,1341.08,45.68,47.57,49.25,49.16,48.45,2.97,3.53,28.51,31.41,42.75,44.05,58.62,60.62,2.9,3.09,-0.56,-2.91,-1.3,-2,-0.19,10.42,88.75
"Cody Eakin","CODY.EAKIN","8475236","15-16","DAL","C","L",1991-05-24,24,2009,3,85,82,1342.18,48.07,48.78,46.69,47.82,47.82,2.68,2.9,28.35,29.77,39.63,45.26,55.13,60.17,2.81,3.06,-0.22,-1.42,-5.63,-5.03,-0.26,9.47,90.26
"Cody Eakin","CODY.EAKIN","8475236","16-17","DAL","C","L",1991-05-24,25,2009,3,85,60,1008.92,34.81,48.82,47.81,47.73,45.5,1.72,3.22,29.15,30.56,40.95,44.71,55.46,60.73,2.68,3.21,-1.5,-1.41,-3.76,-5.27,-0.53,5.9,89.47
"Cody Eakin","CODY.EAKIN","8475236","17-18","VGK","C","L",1991-05-24,26,2009,3,85,80,1162.8,39.01,45.73,45.16,46.11,44.24,2.13,3.33,28.19,33.46,38.78,47.08,52.49,61.35,2.29,2.89,-1.2,-5.27,-8.3,-8.86,-0.6,7.55,90.06
"Cody Eakin","CODY.EAKIN","8475236","18-19","VGK","C","L",1991-05-24,27,2009,3,85,78,1198.4,55.52,48.38,49.26,49.88,48.95,3.08,2.47,29.95,31.95,41.97,43.24,57.46,57.74,2.77,2.88,0.61,-2,-1.27,-0.28,-0.12,10.29,92.27
"Cody Eakin","CODY.EAKIN","8475236","19-20","VGK/WPG","C","L",1991-05-24,28,2009,3,85,49,714.25,38.34,44.84,45.38,45.29,42.91,1.9,3.05,28.4,34.93,39.58,47.65,51.48,62.19,2.45,3.27,-1.15,-6.53,-8.06,-10.71,-0.81,6.68,91.27
"Cody Eakin","CODY.EAKIN","8475236","20-21","BUF","C","L",1991-05-24,29,2009,3,85,46,594.97,34.32,36.18,34.57,34.42,30.57,1.68,3.22,22.26,39.27,28.21,53.39,35.85,68.31,1.52,3.45,-1.54,-17.01,-25.18,-32.46,-1.93,7.56,91.8
"Cody Eakin","CODY.EAKIN","8475236","21-22","BUF","C","L",1991-05-24,30,2009,3,85,49,661.63,32.11,39.82,39.14,38.89,35.72,1.61,3.41,22.59,34.14,30.14,46.87,39.11,61.46,1.57,2.82,-1.79,-11.55,-16.73,-22.35,-1.25,7.13,90.03
"Cody Franson","CODY.FRANSON","8471742","09-10","NSH","D","R",1987-08-08,22,2005,3,79,61,866.13,67.7,59.84,60.59,60.61,61.22,3.21,1.53,36.5,24.5,49.87,32.44,66.16,43,3.08,1.95,1.68,12,17.43,23.16,1.13,8.79,93.75
"Cody Franson","CODY.FRANSON","8471742","10-11","NSH","D","R",1987-08-08,23,2005,3,79,80,1214,61.04,54.13,54.26,56.16,56.19,2.62,1.67,32.74,27.75,44.85,37.81,60.31,47.08,2.67,2.08,0.95,4.99,7.04,13.23,0.59,8.01,93.97
"Cody Franson","CODY.FRANSON","8471742","11-12","TOR","D","R",1987-08-08,24,2005,3,79,57,922.85,53.61,52.12,52.68,53.78,53.07,2.95,2.55,30.96,28.45,43.81,39.36,60.88,52.32,2.68,2.37,0.4,2.51,4.45,8.56,0.31,9.53,91.03
"Cody Franson","CODY.FRANSON","8471742","12-13","TOR","D","R",1987-08-08,25,2005,3,79,45,845.48,61.2,51.12,51.72,51.28,54.52,4.25,2.7,30.38,29.05,42.98,40.11,58.4,55.5,2.73,2.28,1.56,1.33,2.86,2.91,0.45,14,90.72
"Cody Franson","CODY.FRANSON","8471742","13-14","TOR","D","R",1987-08-08,26,2005,3,79,79,1634.27,46.18,46.82,46.66,48.09,47.33,2.82,3.28,29.56,33.57,41,46.87,56.14,60.61,2.62,2.92,-0.47,-4.01,-5.88,-4.47,-0.3,9.53,90.22
"Cody Franson","CODY.FRANSON","8471742","14-15","NSH/TOR","D","R",1987-08-08,27,2005,3,79,78,1531,52.1,52.64,52.12,51.47,52.37,3.27,3.01,32.96,29.65,45.35,41.66,59.25,55.87,3.08,2.8,0.26,3.31,3.69,3.38,0.28,9.92,89.86
"Cody Franson","CODY.FRANSON","8471742","15-16","BUF","D","R",1987-08-08,28,2005,3,79,59,993.4,48,52.27,53.2,53.25,52.06,1.93,2.09,31.03,28.33,42.28,37.19,55.3,48.55,2.45,2.25,-0.16,2.69,5.09,6.75,0.19,6.22,92.62
"Cody Franson","CODY.FRANSON","8471742","16-17","BUF","D","R",1987-08-08,29,2005,3,79,68,1256.8,49.15,50.8,50.81,50.74,50.22,2.21,2.29,30.59,29.63,41.22,39.9,53.78,52.22,2.36,2.34,-0.08,0.96,1.32,1.56,0.02,7.24,92.27
"Cody Franson","CODY.FRANSON","8471742","17-18","CHI","D","R",1987-08-08,30,2005,3,79,23,382.17,62.04,63.75,63.08,63.73,61.64,2.77,1.7,43.02,24.47,58.46,34.21,78.16,44.48,3.57,2.22,1.08,18.56,24.25,33.68,1.35,6.44,93.07
"Cody Glass","CODY.GLASS","8479996","19-20","VGK","C","R",1999-04-01,20,2017,1,6,39,521.05,56.92,57.33,58.03,59.24,58.49,2.75,2.08,33.73,25.1,46.14,33.38,63.4,43.63,3.01,2.13,0.67,8.63,12.76,19.77,0.87,8.15,91.71
"Cody Glass","CODY.GLASS","8479996","20-21","VGK","C","R",1999-04-01,21,2017,1,6,27,392.58,74.06,57.92,59.02,58.35,60.73,3.02,1.06,29.91,21.73,41.11,28.55,59.39,42.4,3.07,1.98,1.96,8.18,12.56,16.99,1.08,10.1,95.13
"Cody Glass","CODY.GLASS","8479996","21-22","NSH","C","R",1999-04-01,22,2017,1,6,4,49.28,100,54.31,53.57,54.46,59.69,1.31,0,35.52,29.88,41.57,36.03,53.58,44.81,2.85,1.92,1.31,5.64,5.54,8.78,0.93,3.7,100
"Cody Goloubef","CODY.GOLOUBEF","8474597","11-12","CBJ","D","R",1989-11-30,21,2008,2,37,1,6,100,41.09,33.68,34.62,58.62,10.6,0,32.3,46.3,32.6,64.2,43.2,81.6,1.7,1.2,10.6,-14,-31.6,-38.4,0.5,32.82,100
"Cody Goloubef","CODY.GOLOUBEF","8474597","12-13","CBJ","D","R",1989-11-30,22,2008,2,37,11,162.95,23.23,54.65,52.08,50.59,54,0.71,2.35,30.96,25.69,37.47,34.47,45.93,44.85,1.76,1.5,-1.64,5.27,3,1.08,0.26,2.3,90.85
"Cody Goloubef","CODY.GOLOUBEF","8474597","13-14","CBJ","D","R",1989-11-30,23,2008,2,37,5,49.12,0,54.23,57.67,51.01,52.71,0,0,24.66,20.81,34.89,25.6,49.21,47.26,1.31,1.17,0,3.85,9.28,1.95,0.13,0,100
"Cody Goloubef","CODY.GOLOUBEF","8474597","14-15","CBJ","D","R",1989-11-30,24,2008,2,37,36,560.35,60.99,47.5,49.01,48.84,50.9,2.75,1.76,28.11,31.07,38.36,39.91,49.78,52.16,2.41,2.32,0.99,-2.95,-1.56,-2.37,0.09,9.78,94.34
"Cody Goloubef","CODY.GOLOUBEF","8474597","15-16","CBJ","D","R",1989-11-30,25,2008,2,37,43,650.45,41.72,44.52,43.63,44.76,45.83,2,2.8,26.39,32.89,36.18,46.75,50.33,62.12,2.39,2.82,-0.79,-6.5,-10.57,-11.79,-0.43,7.58,91.5
"Cody Goloubef","CODY.GOLOUBEF","8474597","16-17","COL","D","R",1989-11-30,26,2008,2,37,33,560.65,34.5,44.2,44.03,43.96,39.71,1.8,3.42,25.94,32.74,35.63,45.29,48.61,61.97,1.77,2.69,-1.62,-6.8,-9.66,-13.36,-0.92,6.94,89.57
"Cody Goloubef","CODY.GOLOUBEF","8474597","18-19","OTT","D","R",1989-11-30,28,2008,2,37,5,54.12,48.7,42.13,38.73,38.54,42.93,1.04,1.1,28.7,39.42,34.37,54.38,45.16,72.02,1.85,2.46,-0.06,-10.72,-20.01,-26.86,-0.61,3.63,97.22
"Cody Goloubef","CODY.GOLOUBEF","8474597","19-20","DET/OTT","D","R",1989-11-30,29,2008,2,37,26,394.89,34.15,40.92,40.35,39.75,39.16,2.2,4.24,24.43,35.26,34.28,50.68,45.72,69.3,2.05,3.18,-2.04,-10.84,-16.4,-23.58,-1.13,8.99,87.99
"Cody Hodgson","CODY.HODGSON","8474570","10-11","VAN","C","R",1990-02-18,20,2008,1,10,8,61.93,67.1,52.97,51.35,54.93,59.02,2,0.98,29.54,26.23,42.5,40.26,60.22,49.42,2.34,1.63,1.02,3.31,2.24,10.8,0.72,6.76,96.27
"Cody Hodgson","CODY.HODGSON","8474570","11-12","BUF/VAN","C","R",1990-02-18,21,2008,1,10,83,1147.26,58.51,53.22,54.24,55.23,53.12,3.31,2.35,31.28,27.49,43.75,36.9,59.26,48.04,2.67,2.35,0.96,3.79,6.85,11.22,0.31,10.58,91.46
"Cody Hodgson","CODY.HODGSON","8474570","12-13","BUF","C","R",1990-02-18,22,2008,1,10,48,883.12,48.88,48.75,47.14,48.52,43.6,3.36,3.52,31.58,33.19,42.19,47.3,57.77,61.29,2.7,3.49,-0.15,-1.61,-5.11,-3.52,-0.79,10.65,89.4
"Cody Hodgson","CODY.HODGSON","8474570","13-14","BUF","C","R",1990-02-18,23,2008,1,10,72,1306.28,45.87,47.57,47.2,48.38,47.78,2.45,2.89,30.52,33.63,41.73,46.68,56.23,60.01,2.87,3.13,-0.44,-3.11,-4.95,-3.78,-0.27,8.03,91.4
"Cody Hodgson","CODY.HODGSON","8474570","14-15","BUF","C","R",1990-02-18,24,2008,1,10,78,1002.03,31.69,42.66,41.55,41.8,42.87,1.28,2.75,24.85,33.4,33.39,46.97,45.05,62.72,1.95,2.6,-1.48,-8.56,-13.59,-17.67,-0.65,5.14,91.76
"Cody Hodgson","CODY.HODGSON","8474570","15-16","NSH","C","R",1990-02-18,25,2008,1,10,39,418.58,57.87,60.49,60.26,58.18,61.79,1.75,1.27,33.76,22.06,46.67,30.78,60.81,43.71,2.52,1.56,0.48,11.71,15.89,17.1,0.96,5.18,94.22
"Cody Kunyk","CODY.KUNYK","8477832","13-14","T.B","R","L",1990-05-20,23,2008,NA,NA,1,10.2,0,64.92,54.6,53.92,61.29,0,0,42.35,22.88,54.76,45.53,66.76,57.06,3.35,2.12,0,19.47,9.24,9.71,1.24,0,100
"Cody McCormick","CODY.MCCORMICK","8469591","07-08","COL","C","R",1983-04-18,24,2001,5,144,40,438.88,48.76,50.37,48.1,46.09,53.91,1.53,1.6,21.86,21.54,29.7,32.05,39.64,46.35,1.82,1.55,-0.08,0.33,-2.35,-6.72,0.26,6.99,92.55
"Cody McCormick","CODY.MCCORMICK","8469591","08-09","COL","C","R",1983-04-18,25,2001,5,144,55,528.1,42.3,48.93,46.11,43.85,46.75,1.92,2.61,24.53,25.6,33.12,38.7,43,55.06,1.69,1.93,-0.7,-1.07,-5.59,-12.06,-0.24,7.81,89.79
"Cody McCormick","CODY.MCCORMICK","8469591","10-11","BUF","C","R",1983-04-18,27,2001,5,144,81,887.28,51.75,52.46,49.42,48.21,47.78,2.11,1.97,30.18,27.35,38.6,39.51,50.73,54.49,1.95,2.13,0.14,2.83,-0.9,-3.76,-0.18,6.99,92.81
"Cody McCormick","CODY.MCCORMICK","8469591","11-12","BUF","C","R",1983-04-18,28,2001,5,144,50,391.53,28.36,52.2,53.17,53.62,56.83,0.79,2,27.5,25.19,40.12,35.34,55.49,47.99,2.12,1.61,-1.21,2.32,4.78,7.5,0.51,2.88,92.05
"Cody McCormick","CODY.MCCORMICK","8469591","12-13","BUF","C","R",1983-04-18,29,2001,5,144,8,51.65,0,54.05,46.21,41.61,32.58,0,2.24,26.93,22.9,33.37,38.85,43.09,60.46,1.01,2.09,-2.24,4.03,-5.47,-17.38,-1.08,0,90.21
"Cody McCormick","CODY.MCCORMICK","8469591","13-14","BUF/MIN","C","R",1983-04-18,30,2001,5,144,43,383.13,33.24,30.59,30.48,30.76,24.43,1.56,3.14,15.79,35.83,21.11,48.14,29.68,66.81,1.01,3.11,-1.58,-20.04,-27.03,-37.12,-2.1,9.9,91.24
"Cody McCormick","CODY.MCCORMICK","8469591","14-15","BUF","C","R",1983-04-18,31,2001,5,144,33,386.55,20.46,29.28,28.13,27.63,24.88,0.93,3.63,16.51,39.88,21.73,55.52,30.04,78.67,1.14,3.45,-2.69,-23.37,-33.78,-48.64,-2.31,5.65,90.9
"Cody McLeod","CODY.MCLEOD","8471657","07-08","COL","L","L",1984-06-26,23,2002,NA,NA,49,496.08,36.32,48.14,46.44,43.45,46.89,1.44,2.52,25.67,27.66,32.24,37.18,39.62,51.56,1.85,2.09,-1.08,-1.99,-4.94,-11.94,-0.25,5.61,90.88
"Cody McLeod","CODY.MCLEOD","8471657","08-09","COL","L","L",1984-06-26,24,2002,NA,NA,79,915.23,36.58,42.9,42.21,41.36,38.82,1.86,3.22,24.91,33.15,34.52,47.26,44.65,63.29,1.75,2.75,-1.36,-8.24,-12.74,-18.64,-1.01,7.46,90.28
"Cody McLeod","CODY.MCLEOD","8471657","09-10","COL","L","L",1984-06-26,25,2002,NA,NA,74,956.65,36.44,44.25,44.39,42.39,45.37,1.72,3,25.1,31.62,34.27,42.94,43.46,59.08,1.95,2.35,-1.28,-6.52,-8.66,-15.62,-0.4,6.86,90.51
"Cody McLeod","CODY.MCLEOD","8471657","10-11","COL","L","L",1984-06-26,26,2002,NA,NA,71,694.38,46.09,47.45,46.57,46.41,45.73,1.99,2.33,27.54,30.5,37.52,43.04,48.98,56.57,2.08,2.46,-0.34,-2.96,-5.53,-7.58,-0.39,7.22,92.37
"Cody McLeod","CODY.MCLEOD","8471657","11-12","COL","L","L",1984-06-26,27,2002,NA,NA,75,539.55,49.46,47.21,47.29,48.15,46.91,1.88,1.92,25.85,28.91,35.82,39.93,48.65,52.39,1.84,2.08,-0.04,-3.05,-4.11,-3.75,-0.24,7.29,93.34
"Cody McLeod","CODY.MCLEOD","8471657","12-13","COL","L","L",1984-06-26,28,2002,NA,NA,48,628.25,46.94,44.8,44.14,44.17,43.05,1.71,1.93,25.27,31.13,35.67,45.15,48.51,61.31,2.01,2.66,-0.22,-5.86,-9.48,-12.8,-0.65,6.76,93.8
"Cody McLeod","CODY.MCLEOD","8471657","13-14","COL","L","L",1984-06-26,29,2002,NA,NA,71,733.25,41.34,38.23,35.98,36.51,29.82,1.61,2.29,21.53,34.79,27.06,48.14,36.97,64.3,1.31,3.08,-0.68,-13.26,-21.08,-27.33,-1.77,7.49,93.43
"Cody McLeod","CODY.MCLEOD","8471657","14-15","COL","L","L",1984-06-26,30,2002,NA,NA,82,917.07,45.29,41.44,39.35,37.45,35.42,1.84,2.22,23.38,33.04,30.67,47.27,38.73,64.68,1.67,3.04,-0.38,-9.66,-16.6,-25.95,-1.37,7.87,93.28
"Cody McLeod","CODY.MCLEOD","8471657","15-16","COL","L","L",1984-06-26,31,2002,NA,NA,82,864.23,47,43.07,42.38,40.66,40.67,1.91,2.15,24.07,31.83,33.37,45.36,42.92,62.65,1.78,2.6,-0.24,-7.75,-11.99,-19.73,-0.82,7.91,93.25
"Cody McLeod","CODY.MCLEOD","8471657","16-17","COL/NSH","L","L",1984-06-26,32,2002,NA,NA,59,422.77,43.04,39.29,38.99,37.92,38.91,1.41,1.86,20.15,31.12,26.86,42.04,36.19,59.25,1.44,2.26,-0.45,-10.98,-15.18,-23.07,-0.82,6.97,94.03
"Cody McLeod","CODY.MCLEOD","8471657","17-18","NSH/NYR","L","L",1984-06-26,33,2002,NA,NA,48,354.4,28.31,37.63,37,37.67,35.62,1.21,3.06,23.06,38.21,29.81,50.77,41.41,68.51,1.67,3.02,-1.85,-15.15,-20.96,-27.1,-1.35,5.24,91.99
"Cody McLeod","CODY.MCLEOD","8471657","18-19","NSH/NYR","L","L",1984-06-26,34,2002,NA,NA,38,246.44,18.84,37.4,38.29,39.14,36.61,0.97,4.19,24.16,40.45,32.66,52.63,43.47,67.6,1.89,3.27,-3.22,-16.29,-19.97,-24.13,-1.38,4.03,89.63
"Colby Armstrong","COLBY.ARMSTRONG","8469474","07-08","ATL/PIT","R","R",1982-11-23,24,2001,1,21,72,1156.18,41.12,42.26,43.02,42.41,46.77,2.52,3.61,26.04,35.57,36.15,47.88,45.98,62.45,2.59,2.95,-1.09,-9.53,-11.73,-16.46,-0.36,9.69,89.84
"Colby Armstrong","COLBY.ARMSTRONG","8469474","08-09","ATL","R","R",1982-11-23,25,2001,1,21,82,1242.8,52.4,49.34,49.95,50.69,48.91,2.96,2.69,28.36,29.12,39.04,39.12,53.16,51.71,2.56,2.67,0.27,-0.76,-0.09,1.45,-0.11,10.45,90.75
"Colby Armstrong","COLBY.ARMSTRONG","8469474","09-10","ATL","R","R",1982-11-23,26,2001,1,21,79,1168.62,46.01,44.46,44.98,45.46,41.13,2.52,2.96,27.27,34.06,37.18,45.48,49.09,58.89,2.24,3.21,-0.44,-6.8,-8.3,-9.8,-0.97,9.26,91.3
"Colby Armstrong","COLBY.ARMSTRONG","8469474","10-11","TOR","R","R",1982-11-23,27,2001,1,21,50,806.23,41.8,43.58,43.76,45.73,41.13,2.4,3.34,24.83,32.15,35.07,45.06,50.57,60.02,2.18,3.12,-0.94,-7.32,-9.99,-9.45,-0.94,9.67,89.6
"Colby Armstrong","COLBY.ARMSTRONG","8469474","11-12","TOR","R","R",1982-11-23,28,2001,1,21,29,270.3,22.74,43.15,41.97,43.07,38.56,0.87,2.94,20.61,27.16,28.57,39.5,42.72,56.48,1.36,2.16,-2.08,-6.54,-10.94,-13.76,-0.81,4.2,89.17
"Colby Armstrong","COLBY.ARMSTRONG","8469474","12-13","MTL","R","R",1982-11-23,29,2001,1,21,37,414.48,38.71,38.94,41.6,41.54,32.86,1.44,2.28,19.17,30.06,28.72,40.31,40.46,56.94,1.3,2.67,-0.84,-10.89,-11.59,-16.48,-1.36,7.52,92.4
"Colby Cave","COLBY.CAVE","8477529","17-18","BOS","C","L",1994-12-26,22,2013,NA,NA,3,34.37,0,48.41,51.1,45.02,45.51,0,0,25.19,26.85,37.27,35.66,45.48,55.53,1.41,1.69,0,-1.66,1.61,-10.06,-0.28,0,100
"Colby Cave","COLBY.CAVE","8477529","18-19","BOS/EDM","C","L",1994-12-26,23,2013,NA,NA,53,652.59,35.05,50.02,49.81,48.54,47.1,1.38,2.56,30.51,30.49,41.23,41.54,52.99,56.18,2.31,2.6,-1.18,0.02,-0.31,-3.18,-0.29,4.52,91.62
"Colby Cave","COLBY.CAVE","8477529","19-20","EDM","C","L",1994-12-26,24,2013,NA,NA,11,106.07,14.68,42.01,39.16,38.43,33.02,0.6,3.48,21.86,30.17,26.98,41.92,37.8,60.57,1.18,2.39,-2.88,-8.32,-14.94,-22.77,-1.21,2.74,88.45
"Colby Cohen","COLBY.COHEN","8474002","10-11","COL","D","R",1989-04-25,21,2007,2,45,3,53.2,38.4,54.46,50.8,48.04,50.53,2.17,3.47,41.01,34.3,52.39,50.73,61.08,66.08,3.76,3.68,-1.31,6.71,1.66,-5,0.08,5.28,89.87
"Colby Robak","COLBY.ROBAK","8474606","11-12","FLA","D","L",1990-04-24,21,2008,2,46,3,37.7,58.75,39.09,36.56,37.29,29.66,4.81,3.37,25.45,39.66,31.53,54.72,42.95,72.22,1.24,2.94,1.43,-14.21,-23.19,-29.27,-1.7,18.89,91.49
"Colby Robak","COLBY.ROBAK","8474606","12-13","FLA","D","L",1990-04-24,22,2008,2,46,16,242.82,42.25,47.75,48.21,50.51,48.61,2.17,2.97,29.19,31.94,41.29,44.36,57.57,56.41,2.29,2.42,-0.8,-2.76,-3.07,1.16,-0.13,7.45,90.69
"Colby Robak","COLBY.ROBAK","8474606","13-14","FLA","D","L",1990-04-24,23,2008,2,46,16,297.17,32.13,42.18,40.53,41.75,39.68,1.54,3.26,25.31,34.7,33.25,48.8,44.75,62.44,2.03,3.08,-1.72,-9.39,-15.55,-17.69,-1.05,6.09,90.61
"Colby Robak","COLBY.ROBAK","8474606","14-15","ANA/FLA","D","L",1990-04-24,24,2008,2,46,12,167.01,54.85,52.67,50.62,49.38,43.9,2.56,2.11,26.9,24.17,35.89,35.01,49.19,50.43,1.8,2.3,0.45,2.73,0.88,-1.24,-0.5,9.51,91.29
"Cole Bardreau","COLE.BARDREAU","8478367","19-20","NYI","C","R",1993-07-22,26,2011,NA,NA,10,88.7,29.23,41.95,42.06,38.93,44.98,1.37,3.31,21.32,29.5,32.08,44.19,39.65,62.2,2.67,3.26,-1.94,-8.18,-12.11,-22.55,-0.6,6.41,88.79
"Cole Caufield","COLE.CAUFIELD","8481540","20-21","MTL","R","R",2001-01-02,19,2019,1,15,10,139.6,46.14,52.61,51.87,54.11,51.63,3.34,3.9,32.72,29.48,43.29,40.16,57,48.34,2.87,2.69,-0.56,3.24,3.12,8.66,0.18,10.22,86.76
"Cole Caufield","COLE.CAUFIELD","8481540","21-22","MTL","R","R",2001-01-02,20,2019,1,15,38,580.75,45.26,53.48,53.61,53.58,52.85,2.6,3.14,32.4,28.19,44.04,38.11,58.93,51.05,3.32,2.96,-0.54,4.22,5.94,7.88,0.36,8.01,88.86
"Cole Perfetti","COLE.PERFETTI","8482149","21-22","WPG","C","L",2002-01-01,19,2020,1,10,18,254.67,56.8,54.52,56.03,56.91,56.11,1.88,1.43,32.9,27.45,48.18,37.81,64.68,48.96,2.87,2.24,0.45,5.45,10.37,15.71,0.62,5.71,94.79
"Cole Schneider","COLE.SCHNEIDER","8476766","15-16","BUF","L","L",1990-08-26,25,2008,NA,NA,2,25.25,0,60.3,58.32,48.27,74.13,0,0,27.14,17.87,38.14,27.26,46.72,50.07,2.52,0.88,0,9.27,10.88,-3.35,1.64,0,100
"Cole Schneider","COLE.SCHNEIDER","8476766","16-17","BUF","L","L",1990-08-26,26,2008,NA,NA,4,28.57,100,51.51,55.02,51.42,50.58,3.97,0,29.38,27.66,41.81,34.19,56.01,52.92,1.83,1.79,3.97,1.72,7.62,3.09,0.04,13.51,100
"Cole Schwindt","COLE.SCHWINDT","8481655","21-22","FLA","C","R",2001-04-25,20,2019,3,81,1,9.45,0,18.08,14.81,21.2,31.25,0,13.21,12.32,55.81,12.32,70.86,24.63,91.56,0.95,2.1,-13.21,-43.49,-58.54,-66.92,-1.14,0,76.34
"Cole Sillinger","COLE.SILLINGER","8482705","21-22","CBJ","C","L",2003-05-16,18,2021,1,12,50,685.18,37.39,46.06,46.7,48.45,47.53,2.08,3.48,28.43,33.29,39.16,44.7,54.71,58.2,2.51,2.77,-1.4,-4.86,-5.54,-3.49,-0.26,7.31,89.54
"Cole Smith","COLE.SMITH","8482062","20-21","NSH","L","L",1995-10-28,24,2014,NA,NA,1,5.95,0,20.13,24.54,21.09,38.46,0,0,19.06,75.63,28.13,86.52,37.71,141.08,1.01,1.61,0,-56.57,-58.39,-103.36,-0.61,0,100
"Cole Smith","COLE.SMITH","8482062","21-22","NSH","L","L",1995-10-28,25,2014,NA,NA,8,70.68,15.61,41.86,41.9,40.46,32.64,0.8,4.31,25.96,36.05,34.44,47.76,40.21,59.18,1.6,3.29,-3.51,-10.09,-13.32,-18.96,-1.7,3.07,88.04
"Colin Blackwell","COLIN.BLACKWELL","8476278","18-19","NSH","C","R",1993-03-28,25,2011,7,194,6,58.43,0,52.57,56.69,58.23,53.41,0,0.97,31.41,28.34,47.49,36.29,72.46,51.98,2.33,2.03,-0.97,3.07,11.2,20.48,0.3,0,96.59
"Colin Blackwell","COLIN.BLACKWELL","8476278","19-20","NSH","C","R",1993-03-28,26,2011,7,194,27,295.77,62.58,53.22,53.38,50.69,51.74,3.49,2.09,31.26,27.48,44.26,38.66,58.2,56.61,2.3,2.14,1.4,3.78,5.6,1.59,0.15,11.16,92.41
"Colin Blackwell","COLIN.BLACKWELL","8476278","20-21","NYR","C","R",1993-03-28,27,2011,7,194,47,658.3,56.1,46.81,47.64,46.7,48.55,3.46,2.7,27.86,31.66,38.78,42.63,49.45,56.45,2.68,2.83,0.75,-3.8,-3.85,-7,-0.16,12.4,91.46
