Player,EH_ID,API ID,Season,Team,Position,Shoots,Birthday,Age,Draft Yr,Draft Rd,Draft Ov,GP,xEVO_GAR/60,xEVD_GAR/60,xPPO_GAR/60,xSHD_GAR/60,xTake_GAR/60,xDraw_GAR/60,xOff_GAR/60,xDef_GAR/60,xPens_GAR/60,xGAR/60,xWAR/60,xSPAR/60
Connor Jones,CONNOR.JONES,8477881,16-17,NYI,C,L,1990-08-16,26,2008,NA,NA,4,-0.349,0.318,0,0.566,-0.086,0.391,-0.349,0.328,0.304,0.297,0.056,0.108
Connor MacKey,CONNOR.MACKEY,8482067,20-21,CGY,D,L,1996-09-12,24,2014,NA,NA,6,-0.179,-0.767,0.128,1.143,-0.491,-0.058,-0.169,-0.571,-0.549,-1.245,-0.223,-0.416
Connor McDavid,CONNOR.MCDAVID,8478402,15-16,EDM,C,L,1997-01-13,18,2015,1,1,45,0.957,-0.069,1.088,1.168,0.03,0.074,0.979,-0.007,0.104,1.003,0.194,0.372
Connor McDavid,CONNOR.MCDAVID,8478402,16-17,EDM,C,L,1997-01-13,19,2015,1,1,82,0.553,0.033,0.476,-0.118,0.061,0.221,0.541,0.026,0.282,0.808,0.152,0.294
Connor McDavid,CONNOR.MCDAVID,8478402,17-18,EDM,C,L,1997-01-13,20,2015,1,1,82,0.931,-0.156,0.8,0.119,0.083,0.093,0.912,-0.14,0.175,0.903,0.176,0.336
Connor McDavid,CONNOR.MCDAVID,8478402,18-19,EDM,C,L,1997-01-13,21,2015,1,1,78,0.852,-0.312,0.689,0.875,0.082,0.084,0.827,-0.273,0.166,0.722,0.135,0.253
Connor McDavid,CONNOR.MCDAVID,8478402,19-20,EDM,C,L,1997-01-13,22,2015,1,1,64,0.609,-0.346,1.49,1.062,0.023,0.059,0.768,-0.338,0.082,0.555,0.099,0.19
Connor McDavid,CONNOR.MCDAVID,8478402,20-21,EDM,C,L,1997-01-13,23,2015,1,1,56,0.992,0.07,1.271,1.583,0.039,0.149,1.046,0.08,0.188,1.253,0.225,0.419
Connor McDavid,CONNOR.MCDAVID,8478402,21-22,EDM,C,L,1997-01-13,24,2015,1,1,52,0.989,-0.015,1.202,0.877,0.03,0.234,1.026,-0.01,0.265,1.241,0.222,0.42
Connor McMichael,CONNOR.MCMICHAEL,8481580,20-21,WSH,C,L,2001-01-15,19,2019,1,25,1,0.02,-0.016,0,0,-0.931,-0.12,0.02,-0.016,-1.051,-1.047,-0.188,-0.35
Connor McMichael,CONNOR.MCMICHAEL,8481580,21-22,WSH,C,L,2001-01-15,20,2019,1,25,50,0.338,0.033,0.1,-0.026,0.076,-0.034,0.335,0.033,0.042,0.407,0.073,0.138
Connor Murphy,CONNOR.MURPHY,8476473,13-14,ARI,D,R,1993-03-26,20,2011,1,20,30,0.155,0.132,0.391,-0.471,0.051,0.038,0.156,0.07,0.089,0.298,0.056,0.106
Connor Murphy,CONNOR.MURPHY,8476473,14-15,ARI,D,R,1993-03-26,21,2011,1,20,73,-0.165,0.041,0.074,-0.112,-0.002,0.02,-0.164,0.025,0.018,-0.104,-0.02,-0.038
Connor Murphy,CONNOR.MURPHY,8476473,15-16,ARI,D,R,1993-03-26,22,2011,1,20,78,0.003,0.026,-0.104,0.058,-0.024,0.059,-0.004,0.03,0.035,0.06,0.012,0.022
Connor Murphy,CONNOR.MURPHY,8476473,16-17,ARI,D,R,1993-03-26,23,2011,1,20,77,-0.181,0.217,-0.472,-0.885,0.015,0.034,-0.186,0.109,0.049,-0.011,-0.002,-0.004
Connor Murphy,CONNOR.MURPHY,8476473,17-18,CHI,D,R,1993-03-26,24,2011,1,20,76,-0.047,0.185,-0.258,-0.078,0.041,0.028,-0.048,0.167,0.07,0.19,0.037,0.071
Connor Murphy,CONNOR.MURPHY,8476473,18-19,CHI,D,R,1993-03-26,25,2011,1,20,52,0.136,0.229,0.182,-0.65,-0.068,0.087,0.136,0.134,0.019,0.27,0.05,0.095
Connor Murphy,CONNOR.MURPHY,8476473,19-20,CHI,D,R,1993-03-26,26,2011,1,20,58,0.096,0.179,0.016,-0.427,0.04,0.043,0.095,0.098,0.083,0.261,0.046,0.089
Connor Murphy,CONNOR.MURPHY,8476473,20-21,CHI,D,R,1993-03-26,27,2011,1,20,50,0.045,0.176,0.113,0.503,0.066,0.06,0.046,0.217,0.126,0.377,0.068,0.126
Connor Murphy,CONNOR.MURPHY,8476473,21-22,CHI,D,R,1993-03-26,28,2011,1,20,51,0.063,0.169,-0.059,-0.115,-0.009,-0.006,0.062,0.133,-0.015,0.169,0.03,0.057
Conor Allen,CONOR.ALLEN,8477214,13-14,NYR,D,L,1990-01-31,23,2008,NA,NA,3,-0.685,0.448,0,0,0.137,0.421,-0.685,0.448,0.558,0.321,0.061,0.114
Conor Allen,CONOR.ALLEN,8477214,14-15,NYR,D,L,1990-01-31,24,2008,NA,NA,4,-0.369,0.43,0,0,-0.28,-0.062,-0.369,0.43,-0.341,-0.282,-0.054,-0.102
Conor Garland,CONOR.GARLAND,8478856,18-19,ARI,R,R,1996-03-11,22,2015,5,123,47,0.573,0.224,0.542,-0.026,0.022,-0.019,0.567,0.224,0.003,0.739,0.138,0.259
Conor Garland,CONOR.GARLAND,8478856,19-20,ARI,R,R,1996-03-11,23,2015,5,123,68,0.761,0.184,0.038,0.687,0.034,0.022,0.652,0.185,0.056,0.854,0.152,0.292
Conor Garland,CONOR.GARLAND,8478856,20-21,ARI,R,R,1996-03-11,24,2015,5,123,49,0.245,-0.115,-0.336,0.345,0.01,0.169,0.15,-0.113,0.179,0.231,0.041,0.077
Conor Garland,CONOR.GARLAND,8478856,21-22,VAN,R,R,1996-03-11,25,2015,5,123,50,0.399,0.166,-0.236,0.839,0.066,0.13,0.325,0.169,0.196,0.656,0.117,0.222
Conor Sheary,CONOR.SHEARY,8477839,15-16,PIT,L,L,1992-06-08,23,2010,NA,NA,44,0.807,0.251,-1.096,-0.026,0.07,0.119,0.659,0.251,0.189,1.076,0.208,0.399
Conor Sheary,CONOR.SHEARY,8477839,16-17,PIT,L,L,1992-06-08,24,2010,NA,NA,61,0.853,-0.204,0.063,-0.026,0.032,0.043,0.764,-0.203,0.075,0.653,0.123,0.238
Conor Sheary,CONOR.SHEARY,8477839,17-18,PIT,L,L,1992-06-08,25,2010,NA,NA,79,0.476,0.03,0.035,0.425,0.086,0.007,0.438,0.03,0.092,0.555,0.108,0.207
Conor Sheary,CONOR.SHEARY,8477839,18-19,BUF,L,L,1992-06-08,26,2010,NA,NA,78,0.102,-0.067,1.063,0.248,0.077,-0.031,0.214,-0.066,0.045,0.197,0.037,0.069
Conor Sheary,CONOR.SHEARY,8477839,19-20,BUF/PIT,L,L,1992-06-08,27,2010,NA,NA,63,0.314,-0.002,-0.302,0.495,0.084,-0.012,0.258,-0.001,0.072,0.325,0.058,0.111
Conor Sheary,CONOR.SHEARY,8477839,20-21,WSH,L,L,1992-06-08,28,2010,NA,NA,53,0.603,0.118,-0.728,-0.026,0.03,0.07,0.503,0.118,0.1,0.699,0.125,0.234
Conor Sheary,CONOR.SHEARY,8477839,21-22,WSH,L,L,1992-06-08,29,2010,NA,NA,45,0.569,-0.002,-0.006,0.714,0.083,0.038,0.486,0.021,0.12,0.6,0.107,0.203
Conor Timmins,CONOR.TIMMINS,8479982,19-20,COL,D,R,1998-09-18,20,2017,2,32,2,0.399,-0.026,0.391,0.792,0.126,-0.059,0.399,0.024,0.067,0.446,0.079,0.152
Conor Timmins,CONOR.TIMMINS,8479982,20-21,COL,D,R,1998-09-18,21,2017,2,32,31,0.041,-0.003,-0.066,-1.479,0.021,0,0.04,-0.051,0.02,0.009,0.002,0.003
Conor Timmins,CONOR.TIMMINS,8479982,21-22,ARI,D,R,1998-09-18,22,2017,2,32,6,0.254,0.136,-0.011,-2.026,0.126,-0.061,0.241,0.008,0.065,0.301,0.054,0.102
Cooper Marody,COOPER.MARODY,8478442,18-19,EDM,C,R,1996-12-20,21,2015,6,158,6,0.381,-0.02,0,0,0.131,-0.124,0.381,-0.02,0.007,0.363,0.068,0.127
Cooper Marody,COOPER.MARODY,8478442,21-22,EDM,C,R,1996-12-20,24,2015,6,158,1,0.036,0.116,0,0,0.134,-0.122,0.036,0.116,0.012,0.159,0.028,0.054
Corban Knight,CORBAN.KNIGHT,8475260,13-14,CGY,C,R,1990-09-10,23,2009,5,134,7,0.482,-0.162,-0.259,0,0.149,-0.138,0.456,-0.162,0.011,0.31,0.059,0.11
Corban Knight,CORBAN.KNIGHT,8475260,14-15,CGY,C,R,1990-09-10,24,2009,5,134,2,0,0.037,0,0,0.138,-0.127,0,0.037,0.011,0.048,0.009,0.017
Corban Knight,CORBAN.KNIGHT,8475260,15-16,FLA,C,R,1990-09-10,25,2009,5,134,20,0.017,0.167,-0.026,-0.026,0.025,-0.011,0.017,0.166,0.013,0.194,0.037,0.072
Corban Knight,CORBAN.KNIGHT,8475260,18-19,PHI,C,R,1990-09-10,28,2009,5,134,23,-0.146,-0.141,0.462,-1.071,0.131,-0.124,-0.145,-0.227,0.007,-0.35,-0.065,-0.123
Corey Elkins,COREY.ELKINS,8475086,09-10,L.A,C,L,1985-02-23,24,2003,NA,NA,3,0.329,-0.434,0.462,0.442,0.165,-0.162,0.331,-0.337,0.003,-0.033,-0.006,-0.011
Corey Locke,COREY.LOCKE,8470705,07-08,MTL,C,L,1984-05-08,23,2003,4,113,1,0.066,-0.216,0,0,0.183,-0.193,0.066,-0.216,-0.01,-0.16,-0.029,-0.056
Corey Locke,COREY.LOCKE,8470705,09-10,NYR,C,L,1984-05-08,25,2003,4,113,3,-0.184,0.004,0,0,0.165,0.518,-0.184,0.004,0.683,0.502,0.091,0.175
Corey Locke,COREY.LOCKE,8470705,10-11,OTT,C,L,1984-05-08,26,2003,4,113,5,-0.429,-0.5,-0.109,0,0.16,-0.154,-0.395,-0.5,0.006,-0.836,-0.149,-0.286
Corey Perry,COREY.PERRY,8470621,07-08,ANA,R,R,1985-05-16,22,2003,1,28,70,0.222,0.175,0.412,0.911,-0.123,0.119,0.26,0.18,-0.004,0.392,0.071,0.136
Corey Perry,COREY.PERRY,8470621,08-09,ANA,R,R,1985-05-16,23,2003,1,28,78,0.481,-0.015,0.813,-0.136,-0.06,0.117,0.542,-0.015,0.056,0.569,0.103,0.198
Corey Perry,COREY.PERRY,8470621,09-10,ANA,R,R,1985-05-16,24,2003,1,28,82,0.265,-0.226,0.245,0.425,0.005,0.029,0.261,-0.212,0.035,0.116,0.021,0.04
Corey Perry,COREY.PERRY,8470621,10-11,ANA,R,R,1985-05-16,25,2003,1,28,82,0.492,-0.114,1.683,0.024,-0.023,0.076,0.694,-0.102,0.053,0.595,0.106,0.204
Corey Perry,COREY.PERRY,8470621,11-12,ANA,R,R,1985-05-16,26,2003,1,28,80,0.325,0.129,1.454,0.715,-0.038,0.072,0.528,0.172,0.035,0.654,0.114,0.212
Corey Perry,COREY.PERRY,8470621,12-13,ANA,R,R,1985-05-16,27,2003,1,28,44,0.323,0.125,0.891,-0.332,-0.06,-0.022,0.413,0.099,-0.082,0.387,0.072,0.133
Corey Perry,COREY.PERRY,8470621,13-14,ANA,R,R,1985-05-16,28,2003,1,28,81,0.982,0.13,0.135,-0.381,-0.002,0.131,0.821,0.112,0.129,0.991,0.188,0.351
Corey Perry,COREY.PERRY,8470621,14-15,ANA,R,R,1985-05-16,29,2003,1,28,67,0.889,-0.09,-0.312,1.201,0.014,0.016,0.7,-0.07,0.03,0.645,0.123,0.234
Corey Perry,COREY.PERRY,8470621,15-16,ANA,R,R,1985-05-16,30,2003,1,28,82,0.453,-0.234,1.094,0.565,-0.025,-0.007,0.559,-0.232,-0.032,0.325,0.063,0.121
Corey Perry,COREY.PERRY,8470621,16-17,ANA,R,R,1985-05-16,31,2003,1,28,82,0.09,0.024,0.299,0.1,-0.069,0.043,0.125,0.024,-0.026,0.114,0.022,0.042
Corey Perry,COREY.PERRY,8470621,17-18,ANA,R,R,1985-05-16,32,2003,1,28,71,0.191,-0.301,0.523,-0.027,0.013,-0.004,0.241,-0.301,0.01,-0.005,-0.001,-0.002
Corey Perry,COREY.PERRY,8470621,18-19,ANA,R,R,1985-05-16,33,2003,1,28,31,-0.03,0.024,0.809,-0.026,0.003,0.04,0.072,0.024,0.043,0.133,0.025,0.047
Corey Perry,COREY.PERRY,8470621,19-20,DAL,R,R,1985-05-16,34,2003,1,28,57,-0.064,-0.082,-0.039,0.531,-0.078,-0.018,-0.06,-0.08,-0.096,-0.221,-0.039,-0.075
Corey Perry,COREY.PERRY,8470621,20-21,MTL,R,R,1985-05-16,35,2003,1,28,49,0.154,0.098,-0.945,0.569,0.051,0.046,-0.022,0.099,0.097,0.157,0.028,0.053
Corey Perry,COREY.PERRY,8470621,21-22,T.B,R,R,1985-05-16,36,2003,1,28,51,0.105,0.085,0.805,-0.026,-0.076,0.11,0.198,0.085,0.034,0.298,0.053,0.101
Corey Potter,COREY.POTTER,8470714,08-09,NYR,D,R,1984-01-05,24,2003,4,122,5,0.956,-0.498,-0.052,-1.071,0.176,-0.078,0.903,-0.525,0.097,0.455,0.082,0.158
Corey Potter,COREY.POTTER,8470714,09-10,NYR,D,R,1984-01-05,25,2003,4,122,3,-0.162,0.44,0,0,-0.197,-0.072,-0.162,0.44,-0.269,0.003,0.001,0.001
Corey Potter,COREY.POTTER,8470714,10-11,PIT,D,R,1984-01-05,26,2003,4,122,1,0.052,0.029,0,0,0.15,-0.067,0.052,0.029,0.083,0.161,0.029,0.055
Corey Potter,COREY.POTTER,8470714,11-12,EDM,D,R,1984-01-05,27,2003,4,122,62,0.044,0.042,-0.133,0.929,0.056,0.048,0.021,0.085,0.104,0.198,0.035,0.064
Corey Potter,COREY.POTTER,8470714,12-13,EDM,D,R,1984-01-05,28,2003,4,122,33,0.217,0.18,-0.356,0.573,0.076,0.019,0.177,0.22,0.095,0.455,0.084,0.157
Corey Potter,COREY.POTTER,8470714,13-14,BOS/EDM,D,R,1984-01-05,29,2003,4,122,19,-0.105,0.213,0.468,-0.213,-0.145,0.159,-0.072,0.176,0.014,0.113,0.021,0.04
Corey Potter,COREY.POTTER,8470714,14-15,CGY,D,R,1984-01-05,30,2003,4,122,6,-0.029,0.291,0.391,0.559,0.132,-0.062,-0.024,0.3,0.071,0.343,0.065,0.125
Corey Potter,COREY.POTTER,8470714,15-16,NSH,D,R,1984-01-05,31,2003,4,122,1,0.312,0.109,0,0,0.135,-0.062,0.312,0.109,0.072,0.492,0.095,0.182
Corey Schueneman,COREY.SCHUENEMAN,8481461,21-22,MTL,D,L,1995-09-02,26,2013,NA,NA,7,0.29,0.107,0.078,-0.805,-0.158,0.134,0.288,0.032,-0.024,0.273,0.049,0.092
Corey Tropp,COREY.TROPP,8474130,11-12,BUF,R,R,1989-07-25,22,2007,3,89,34,-0.056,-0.09,-0.064,0.348,0.029,-0.067,-0.056,-0.085,-0.038,-0.177,-0.031,-0.057
Corey Tropp,COREY.TROPP,8474130,13-14,BUF/CBJ,R,R,1989-07-25,24,2007,3,89,53,0.114,0.039,0.032,0.804,-0.077,0.114,0.113,0.047,0.037,0.195,0.037,0.069
Corey Tropp,COREY.TROPP,8474130,14-15,CBJ,R,R,1989-07-25,25,2007,3,89,61,-0.407,-0.21,-0.092,-0.026,-0.204,0.033,-0.406,-0.21,-0.17,-0.783,-0.149,-0.284
Corey Tropp,COREY.TROPP,8474130,16-17,ANA,R,R,1989-07-25,27,2007,3,89,1,0.109,0.078,0,0,0.135,-0.125,0.109,0.078,0.011,0.198,0.037,0.072
Cory Conacher,CORY.CONACHER,8476195,12-13,OTT/T.B,C,L,1989-12-14,22,2008,NA,NA,47,0.704,-0.1,-0.325,-2.173,0.005,0.23,0.553,-0.107,0.235,0.689,0.128,0.237
Cory Conacher,CORY.CONACHER,8476195,13-14,BUF/OTT,C,L,1989-12-14,23,2008,NA,NA,79,-0.083,0.137,-0.244,-0.026,-0.032,0.181,-0.101,0.137,0.149,0.17,0.032,0.06
Cory Conacher,CORY.CONACHER,8476195,14-15,NYI,C,L,1989-12-14,24,2008,NA,NA,15,-0.172,-0.171,-0.155,-0.026,0.091,0.09,-0.171,-0.171,0.181,-0.149,-0.028,-0.054
Cory Conacher,CORY.CONACHER,8476195,16-17,T.B,C,L,1989-12-14,26,2008,NA,NA,11,-0.247,-0.148,0.151,0,-0.037,0.125,-0.183,-0.148,0.087,-0.216,-0.041,-0.079
Cory Conacher,CORY.CONACHER,8476195,17-18,T.B,C,L,1989-12-14,27,2008,NA,NA,36,0.583,0.032,-0.937,-0.026,-0.065,0.203,0.527,0.032,0.137,0.691,0.135,0.257
Cory Conacher,CORY.CONACHER,8476195,18-19,T.B,C,L,1989-12-14,28,2008,NA,NA,1,0.169,0.287,0,0,-1.365,-0.124,0.169,0.287,-1.489,-1.041,-0.194,-0.365
Cory Conacher,CORY.CONACHER,8476195,19-20,T.B,C,L,1989-12-14,29,2008,NA,NA,4,0.34,-0.416,-0.256,-0.026,-0.127,-0.124,0.304,-0.415,-0.251,-0.336,-0.06,-0.115
Cory Emmerton,CORY.EMMERTON,8473558,10-11,DET,C,L,1988-06-01,22,2006,2,41,2,0.576,0.247,0,0,0.16,-0.154,0.576,0.247,0.006,0.829,0.148,0.284
Cory Emmerton,CORY.EMMERTON,8473558,11-12,DET,C,L,1988-06-01,23,2006,2,41,71,0.169,-0.002,0.424,0.922,0.019,0.041,0.172,0.057,0.06,0.277,0.048,0.09
Cory Emmerton,CORY.EMMERTON,8473558,12-13,DET,C,L,1988-06-01,24,2006,2,41,48,0.154,-0.229,-0.042,0.46,0.105,-0.056,0.153,-0.116,0.049,0.061,0.011,0.021
Cory Emmerton,CORY.EMMERTON,8473558,13-14,DET,C,L,1988-06-01,25,2006,2,41,18,-0.088,0.023,0.462,0.872,-0.029,0.058,-0.088,0.159,0.029,0.114,0.022,0.04
Cory Murphy,CORY.MURPHY,8473924,07-08,FLA,D,R,1978-02-13,29,1996,NA,NA,47,-0.014,0.085,0.545,0.704,0.021,0.013,0.14,0.093,0.034,0.238,0.043,0.083
Cory Murphy,CORY.MURPHY,8473924,08-09,FLA/T.B,D,R,1978-02-13,30,1996,NA,NA,32,-0.122,-0.014,1.511,-0.041,0.04,-0.042,0.267,-0.015,-0.001,0.239,0.043,0.083
Cory Murphy,CORY.MURPHY,8473924,09-10,N.J,D,R,1978-02-13,31,1996,NA,NA,12,0.274,-0.336,-0.258,0,0.079,0.084,0.136,-0.336,0.163,0.051,0.009,0.018
Cory Sarich,CORY.SARICH,8464981,07-08,CGY,D,R,1978-08-16,29,1996,2,27,80,-0.025,0.189,0.636,0.139,-0.124,-0.027,-0.006,0.18,-0.151,0.018,0.003,0.006
Cory Sarich,CORY.SARICH,8464981,08-09,CGY,D,R,1978-08-16,30,1996,2,27,75,-0.103,0.327,-1.171,0.037,-0.069,0.011,-0.137,0.281,-0.058,0.097,0.018,0.034
Cory Sarich,CORY.SARICH,8464981,09-10,CGY,D,R,1978-08-16,31,1996,2,27,57,0.057,-0.003,0.246,1.093,-0.083,-0.033,0.06,0.128,-0.116,0.063,0.011,0.022
Cory Sarich,CORY.SARICH,8464981,10-11,CGY,D,R,1978-08-16,32,1996,2,27,76,0.115,0.126,-0.034,1.47,-0.078,0.04,0.114,0.268,-0.038,0.328,0.059,0.112
Cory Sarich,CORY.SARICH,8464981,11-12,CGY,D,R,1978-08-16,33,1996,2,27,62,0.082,0.19,0.307,-0.477,-0.09,-0.003,0.083,0.153,-0.093,0.137,0.024,0.044
Cory Sarich,CORY.SARICH,8464981,12-13,CGY,D,R,1978-08-16,34,1996,2,27,28,-0.159,0.259,0.391,0.118,0.083,-0.038,-0.158,0.25,0.045,0.146,0.027,0.05
Cory Sarich,CORY.SARICH,8464981,13-14,COL,D,R,1978-08-16,35,1996,2,27,54,-0.2,0.216,0.077,-0.504,-0.023,-0.031,-0.199,0.144,-0.054,-0.09,-0.017,-0.032
Cory Stillman,CORY.STILLMAN,8458943,07-08,CAR/OTT,L,L,1973-12-20,33,1992,1,6,79,0.15,-0.125,1.21,0.568,0.103,-0.013,0.394,-0.075,0.09,0.396,0.072,0.138
Cory Stillman,CORY.STILLMAN,8458943,08-09,FLA,L,L,1973-12-20,34,1992,1,6,63,0.349,0.045,0.627,0.474,0.028,-0.048,0.411,0.046,-0.02,0.415,0.075,0.145
Cory Stillman,CORY.STILLMAN,8458943,09-10,FLA,L,L,1973-12-20,35,1992,1,6,58,0.512,-0.286,-0.238,-0.673,0.044,-0.056,0.375,-0.288,-0.012,0.123,0.022,0.043
Cory Stillman,CORY.STILLMAN,8458943,10-11,CAR/FLA,L,L,1973-12-20,36,1992,1,6,65,0.181,-0.229,0.264,-0.026,0.03,-0.032,0.197,-0.229,-0.002,0.009,0.002,0.003
Craig Adams,CRAIG.ADAMS,8465166,07-08,CAR/CHI,R,R,1977-04-26,30,1996,9,223,75,-0.314,-0.084,-0.055,0.932,0.086,-0.058,-0.31,0.147,0.028,-0.067,-0.012,-0.023
Craig Adams,CRAIG.ADAMS,8465166,08-09,CHI/PIT,R,R,1977-04-26,31,1996,9,223,45,-0.331,0.14,1.464,0.92,0.023,0.024,-0.307,0.218,0.047,-0.014,-0.003,-0.005
Craig Adams,CRAIG.ADAMS,8465166,09-10,PIT,R,R,1977-04-26,32,1996,9,223,81,-0.707,0.323,-0.319,-0.223,0.007,0.006,-0.704,0.187,0.013,-0.329,-0.059,-0.114
Craig Adams,CRAIG.ADAMS,8465166,10-11,PIT,R,R,1977-04-26,33,1996,9,223,80,-0.468,0.175,-0.077,0.246,0.06,-0.024,-0.467,0.193,0.035,-0.118,-0.021,-0.04
Craig Adams,CRAIG.ADAMS,8465166,11-12,PIT,R,R,1977-04-26,34,1996,9,223,82,-0.195,0.32,0.085,0.167,0.094,-0.026,-0.194,0.281,0.069,0.203,0.035,0.066
Craig Adams,CRAIG.ADAMS,8465166,12-13,PIT,R,R,1977-04-26,35,1996,9,223,48,-0.259,0.217,-0.53,-0.359,0.025,0.032,-0.26,0.078,0.056,-0.062,-0.011,-0.021
Craig Adams,CRAIG.ADAMS,8465166,13-14,PIT,R,R,1977-04-26,36,1996,9,223,82,-0.154,0.146,-0.381,-0.325,-0.003,-0.071,-0.155,0.031,-0.073,-0.159,-0.03,-0.056
Craig Adams,CRAIG.ADAMS,8465166,14-15,PIT,R,R,1977-04-26,37,1996,9,223,70,-0.363,0.225,0.007,0.284,0.043,-0.075,-0.361,0.24,-0.032,-0.059,-0.011,-0.022
Craig Conroy,CRAIG.CONROY,8455919,07-08,CGY,C,R,1971-09-04,36,1990,6,123,79,0.27,0.033,-0.22,-0.583,-0.089,-0.021,0.205,-0.069,-0.111,0.001,0,0
Craig Conroy,CRAIG.CONROY,8455919,08-09,CGY,C,R,1971-09-04,37,1990,6,123,81,0.365,0.056,-0.802,-0.801,0.066,0.045,0.338,-0.106,0.111,0.279,0.051,0.097
Craig Conroy,CRAIG.CONROY,8455919,09-10,CGY,C,R,1971-09-04,38,1990,6,123,63,0.058,0.207,0.219,-0.788,0.041,-0.022,0.061,0.038,0.019,0.106,0.019,0.037
Craig Conroy,CRAIG.CONROY,8455919,10-11,CGY,C,R,1971-09-04,39,1990,6,123,18,0.721,-0.017,0.462,-0.011,-0.115,0.103,0.719,-0.016,-0.013,0.508,0.091,0.174
Craig Cunningham,CRAIG.CUNNINGHAM,8475414,13-14,BOS,L,R,1990-09-13,23,2010,4,97,2,0.177,-0.16,0,0,0.149,-0.138,0.177,-0.16,0.011,0.027,0.005,0.01
Craig Cunningham,CRAIG.CUNNINGHAM,8475414,14-15,ARI/BOS,L,R,1990-09-13,24,2010,4,97,51,-0.008,0.132,0.069,-0.494,0.097,-0.047,-0.008,0.074,0.051,0.117,0.022,0.043
Craig Cunningham,CRAIG.CUNNINGHAM,8475414,15-16,ARI,L,R,1990-09-13,25,2010,4,97,10,-0.242,-0.124,0,0,0.026,-0.036,-0.242,-0.124,-0.009,-0.366,-0.071,-0.136
Craig MacDonald,CRAIG.MACDONALD,8465041,07-08,T.B,C,L,1977-04-07,30,1996,4,88,65,-0.287,-0.015,-0.053,0.906,0.059,-0.016,-0.285,0.164,0.043,-0.024,-0.004,-0.008
Craig MacDonald,CRAIG.MACDONALD,8465041,08-09,CBJ,C,L,1977-04-07,31,1996,4,88,8,-0.197,0.029,0.201,0.35,0.181,-0.184,-0.18,0.047,-0.003,-0.127,-0.023,-0.044
Craig Rivet,CRAIG.RIVET,8459004,07-08,S.J,D,R,1974-09-13,33,1992,3,68,74,0.127,0.106,0.25,-0.029,0.044,-0.017,0.15,0.088,0.027,0.232,0.042,0.081
Craig Rivet,CRAIG.RIVET,8459004,08-09,BUF,D,R,1974-09-13,34,1992,3,68,64,-0.079,-0.069,-0.44,-0.428,-0.039,-0.007,-0.127,-0.113,-0.046,-0.255,-0.046,-0.089
Craig Rivet,CRAIG.RIVET,8459004,09-10,BUF,D,R,1974-09-13,35,1992,3,68,78,-0.105,0.021,-0.382,0.186,-0.023,-0.019,-0.139,0.041,-0.042,-0.128,-0.023,-0.045
Craig Rivet,CRAIG.RIVET,8459004,10-11,BUF/CBJ,D,R,1974-09-13,36,1992,3,68,37,0.169,-0.062,0.095,-0.507,-0.058,-0.046,0.164,-0.103,-0.104,-0.051,-0.009,-0.017
Craig Smith,CRAIG.SMITH,8475225,11-12,NSH,C,R,1989-09-05,22,2009,4,98,72,-0.087,-0.029,1.129,0.172,-0.003,-0.008,0.097,-0.029,-0.011,0.06,0.01,0.019
Craig Smith,CRAIG.SMITH,8475225,12-13,NSH,C,R,1989-09-05,23,2009,4,98,44,-0.144,-0.077,0.098,-0.026,-0.03,-0.016,-0.111,-0.077,-0.046,-0.222,-0.041,-0.076
Craig Smith,CRAIG.SMITH,8475225,13-14,NSH,C,R,1989-09-05,24,2009,4,98,79,0.314,0.039,1.408,0.74,0.058,0.005,0.452,0.04,0.062,0.54,0.102,0.192
Craig Smith,CRAIG.SMITH,8475225,14-15,NSH,C,R,1989-09-05,25,2009,4,98,82,0.549,-0.181,0.206,-0.026,-0.039,0.013,0.494,-0.181,-0.026,0.311,0.059,0.113
Craig Smith,CRAIG.SMITH,8475225,15-16,NSH,C,R,1989-09-05,26,2009,4,98,82,0.604,0.002,-0.416,0.679,-0.019,-0.006,0.46,0.004,-0.025,0.432,0.083,0.16
Craig Smith,CRAIG.SMITH,8475225,16-17,NSH,C,R,1989-09-05,27,2009,4,98,78,0.072,-0.029,-0.213,0.458,-0.013,0.036,0.049,-0.028,0.024,0.047,0.009,0.017
Craig Smith,CRAIG.SMITH,8475225,17-18,NSH,C,R,1989-09-05,28,2009,4,98,79,0.269,0.169,1.223,-0.026,0.048,-0.012,0.415,0.169,0.036,0.587,0.114,0.219
Craig Smith,CRAIG.SMITH,8475225,18-19,NSH,C,R,1989-09-05,29,2009,4,98,76,0.375,0.001,-0.262,-0.026,0.035,0.057,0.271,0.001,0.092,0.359,0.067,0.126
Craig Smith,CRAIG.SMITH,8475225,19-20,NSH,C,R,1989-09-05,30,2009,4,98,69,0.814,0.175,-0.402,-0.026,0.006,0.03,0.608,0.174,0.036,0.781,0.139,0.267
Craig Smith,CRAIG.SMITH,8475225,20-21,BOS,C,R,1989-09-05,31,2009,4,98,54,0.346,-0.067,1.361,-0.026,0.023,-0.052,0.45,-0.067,-0.028,0.356,0.064,0.119
Craig Smith,CRAIG.SMITH,8475225,21-22,BOS,C,R,1989-09-05,32,2009,4,98,46,0.126,-0.028,-1.528,0.373,0.001,0.037,-0.063,-0.027,0.038,-0.047,-0.008,-0.016
